"No.","Time","Source","Destination","Protocol","Length","Info"
"980","164.457888100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"981","164.459766500","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0002 A google.com"
"982","164.464400700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","106","Standard query response 0x0002 A google.com A 142.250.192.206"
"983","164.469389700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0003 AAAA google.com"
"984","164.473452500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","118","Standard query response 0x0003 AAAA google.com AAAA 2404:6800:4002:822::200e"
"985","164.569655900","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","723","Application Data"
"986","164.573035400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"987","164.573135000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"988","164.574647600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0x3ad9 HTTPS www.linkedin.com"
"989","164.574896700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0x3bc0 AAAA www.linkedin.com"
"990","164.575170700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0x455c A www.linkedin.com"
"991","164.662703400","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=13723 Ack=1471 Win=16388 Len=0"
"992","164.662703400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","220","Standard query response 0x455c A www.linkedin.com CNAME afd-cf.www.linkedin.com CNAME www-linkedin-com.ln-0002.ln-msedge.net CNAME ln-0002.ln-dc-msedge.net A 150.171.23.12"
"993","164.662703400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","261","Standard query response 0x3ad9 HTTPS www.linkedin.com CNAME afd-cf.www.linkedin.com CNAME www-linkedin-com.ln-0002.ln-msedge.net CNAME ln-0002.ln-dc-msedge.net SOA ns1.ln-dc-msedge.net"
"994","165.532564000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"995","165.596724200","172.20.10.6","172.20.10.1","DNS","76","Standard query 0x0135 AAAA www.linkedin.com"
"996","165.616892900","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"997","165.618465400","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"998","165.623264200","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"999","165.627793000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"1000","165.631733500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"1001","166.107311100","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"1002","166.302301000","172.20.10.12","224.0.0.251","MDNS","122","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR lb._dns-sd._udp.local, ""QM"" question"
"1003","166.302301000","fe80::183d:4295:442e:2b50","ff02::fb","MDNS","142","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR lb._dns-sd._udp.local, ""QM"" question"
"1004","166.302301000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"1005","166.304826600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0002 A facebook.com"
"1006","166.309076600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","108","Standard query response 0x0002 A facebook.com A 57.144.40.1"
"1007","166.312994700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0003 AAAA facebook.com"
"1008","166.316986200","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","120","Standard query response 0x0003 AAAA facebook.com AAAA 2a03:2880:f311:1:face:b00c:0:25de"
"1009","166.619136600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0x7cca AAAA www.linkedin.com"
"1012","167.263272000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"1013","167.427689600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"1014","167.429364800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0002 A youtube.com"
"1015","167.433528600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","107","Standard query response 0x0002 A youtube.com A 142.250.67.206"
"1016","167.437830800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0003 AAAA youtube.com"
"1017","167.442238400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","119","Standard query response 0x0003 AAAA youtube.com AAAA 2404:6800:4009:813::200e"
"1018","167.633381200","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0x762e AAAA www.linkedin.com"
"1019","169.167953500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","232","Standard query response 0x3bc0 AAAA www.linkedin.com CNAME afd-cf.www.linkedin.com CNAME www-linkedin-com.ln-0002.ln-msedge.net CNAME ln-0002.ln-dc-msedge.net AAAA 2620:1ec:51::12"
"1020","169.167953500","172.20.10.1","172.20.10.6","DNS","212","Standard query response 0x0135 AAAA www.linkedin.com CNAME afd-cf.www.linkedin.com CNAME www-linkedin-com.ln-0002.ln-msedge.net CNAME ln-0002.ln-dc-msedge.net AAAA 2620:1ec:51::12"
"1021","169.167953500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","232","Standard query response 0x7cca AAAA www.linkedin.com CNAME afd-cf.www.linkedin.com CNAME www-linkedin-com.ln-0002.ln-msedge.net CNAME ln-0002.ln-dc-msedge.net AAAA 2620:1ec:51::12"
"1022","169.167953500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","232","Standard query response 0x762e AAAA www.linkedin.com CNAME afd-cf.www.linkedin.com CNAME www-linkedin-com.ln-0002.ln-msedge.net CNAME ln-0002.ln-dc-msedge.net AAAA 2620:1ec:51::12"
"1023","169.169654400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","1292","Initial, DCID=6a30a7f7cecb20b8, PKN: 1, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, PING, PING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO"
"1024","169.169779700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","1292","Initial, DCID=6a30a7f7cecb20b8, PKN: 2, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PING"
"1025","169.170752400","172.20.10.6","150.171.22.12","TCP","1414","64603  >  443 [ACK] Seq=15943 Ack=6401 Win=255 Len=1360 [TCP PDU reassembled in 1030]"
"1026","169.170752400","172.20.10.6","150.171.22.12","TCP","1414","64603  >  443 [ACK] Seq=17303 Ack=6401 Win=255 Len=1360 [TCP PDU reassembled in 1030]"
"1027","169.170752400","172.20.10.6","150.171.22.12","TCP","1414","64603  >  443 [ACK] Seq=18663 Ack=6401 Win=255 Len=1360 [TCP PDU reassembled in 1030]"
"1028","169.170752400","172.20.10.6","150.171.22.12","TCP","1414","64603  >  443 [ACK] Seq=20023 Ack=6401 Win=255 Len=1360 [TCP PDU reassembled in 1030]"
"1029","169.170752400","172.20.10.6","150.171.22.12","TCP","1414","64603  >  443 [ACK] Seq=21383 Ack=6401 Win=255 Len=1360 [TCP PDU reassembled in 1030]"
"1030","169.170752400","172.20.10.6","150.171.22.12","TLSv1.2","443","Application Data"
"1031","169.170955000","172.20.10.6","150.171.22.12","TLSv1.2","93","Application Data"
"1032","169.170999500","172.20.10.6","150.171.22.12","TLSv1.2","416","Application Data"
"1033","169.349466800","172.20.10.6","150.171.22.12","TCP","1414","[TCP Retransmission] 64603  >  443 [PSH, ACK] Seq=22173 Ack=6401 Win=255 Len=1360"
"1034","169.358977300","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=17303 Win=16389 Len=0"
"1035","169.358977300","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","179","Retry, SCID=f8658c1b4926d58bb36c151fadff"
"1036","169.359538000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","1292","Initial, DCID=f8658c1b4926d58bb36c151fadff, PKN: 3, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PING, PING, PING, PADDING, CRYPTO, PADDING"
"1037","169.359693200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","1292","Initial, DCID=f8658c1b4926d58bb36c151fadff, PKN: 4, PING, CRYPTO, PADDING, PING, PADDING, PING, PADDING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, PING, PING, PADDING"
"1038","169.489140500","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=18663 Win=16389 Len=0"
"1039","169.489140500","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=20023 Win=16389 Len=0"
"1040","169.489140500","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=21383 Win=16389 Len=0"
"1041","169.555868000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","1292","Initial, DCID=f8658c1b4926d58bb36c151fadff, PKN: 6, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, PING, PADDING, PING, PING"
"1042","169.565532900","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1302","Initial, SCID=f8658c1b4926d58bb36c151fadff, PKN: 0, ACK, PADDING"
"1043","169.565532900","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=22743 Win=16389 Len=0"
"1044","169.573125200","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=23132 Win=16387 Len=0"
"1045","169.574096600","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=23171 Win=16387 Len=0"
"1046","169.574096600","150.171.22.12","172.20.10.6","TLSv1.2","93","Application Data"
"1047","169.619097600","172.20.10.6","150.171.22.12","TCP","54","64603  >  443 [ACK] Seq=23533 Ack=6440 Win=255 Len=0"
"1048","169.629036600","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6440 Ack=23533 Win=16385 Len=0"
"1049","169.629036600","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1262","Initial, SCID=e823746dfe3a32a8a59d621c5a17, PKN: 1, ACK, CRYPTO, PADDING"
"1050","169.630521200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","1292","Initial, DCID=e823746dfe3a32a8a59d621c5a17"
"1051","169.782510400","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1262","Initial, SCID=e823746dfe3a32a8a59d621c5a17"
"1052","169.782510400","150.171.22.12","172.20.10.6","TCP","66","[TCP Dup ACK 1048#1] 443  >  64603 [ACK] Seq=6440 Ack=23533 Win=16385 Len=0 SLE=22173 SRE=23533"
"1053","169.885548300","150.171.22.12","172.20.10.6","TCP","1414","443  >  64603 [ACK] Seq=6440 Ack=23533 Win=16385 Len=1360 [TCP PDU reassembled in 1056]"
"1054","169.885548300","150.171.22.12","172.20.10.6","TCP","1414","443  >  64603 [ACK] Seq=7800 Ack=23533 Win=16385 Len=1360 [TCP PDU reassembled in 1056]"
"1055","169.885708800","172.20.10.6","150.171.22.12","TCP","54","64603  >  443 [ACK] Seq=23533 Ack=9160 Win=255 Len=0"
"1056","169.891217100","150.171.22.12","172.20.10.6","TLSv1.2","288","Application Data"
"1057","169.891217100","150.171.22.12","172.20.10.6","TLSv1.2","85","Application Data"
"1058","169.891217100","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1262","Handshake, SCID=e823746dfe3a32a8a59d621c5a17"
"1059","169.891217100","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1262","Handshake, SCID=e823746dfe3a32a8a59d621c5a17"
"1060","169.891217100","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1262","Handshake, SCID=e823746dfe3a32a8a59d621c5a17"
"1061","169.891217100","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1262","Protected Payload (KP0)"
"1062","169.891217100","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","88","Protected Payload (KP0)"
"1063","169.891363100","172.20.10.6","150.171.22.12","TCP","54","64603  >  443 [ACK] Seq=23533 Ack=9425 Win=254 Len=0"
"1064","169.895400700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","107","Handshake, DCID=e823746dfe3a32a8a59d621c5a17"
"1065","169.895869100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","240","Protected Payload (KP0), DCID=e823746dfe3a32a8a59d621c5a17"
"1066","169.896008300","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"1067","169.923769400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","100","Protected Payload (KP0), DCID=e823746dfe3a32a8a59d621c5a17"
"1068","169.987932900","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=9425 Ack=23568 Win=16385 Len=0"
"1069","170.089991200","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1262","Protected Payload (KP0)"
"1070","170.089991200","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1294","Protected Payload (KP0)"
"1071","170.090671900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","99","Protected Payload (KP0), DCID=e823746dfe3a32a8a59d621c5a17"
"1072","170.294944100","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1374","Protected Payload (KP0)"
"1073","170.329420100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","100","Protected Payload (KP0), DCID=e823746dfe3a32a8a59d621c5a17"
"1074","170.515372100","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1454","Protected Payload (KP0)"
"1075","170.549128400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","100","Protected Payload (KP0), DCID=e823746dfe3a32a8a59d621c5a17"
"1076","170.719655900","2620:1ec:51::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1514","Protected Payload (KP0)"
"1077","170.752984700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:51::12","QUIC","100","Protected Payload (KP0), DCID=e823746dfe3a32a8a59d621c5a17"
"1078","171.381872800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"1079","171.523623300","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"1080","171.525513200","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"1081","171.530125700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"1082","171.536603100","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"1083","172.647099000","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","723","Application Data"
"1084","172.647099000","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","98","Application Data"
"1086","172.647099000","150.171.22.12","172.20.10.6","TLSv1.2","93","Application Data"
"1088","172.647538400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","TLSv1.2","102","Application Data"
"1089","172.658623200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"1090","172.658828500","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"1091","172.658896500","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"1092","172.752487500","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  56195 [ACK] Seq=217 Ack=253 Win=16 Len=0"
"1093","172.752487500","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=14372 Ack=1541 Win=16388 Len=0"
"1094","172.752487500","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=9464 Ack=23603 Win=16385 Len=0"
"1095","173.673961600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f315:22:face:b00c:0:4420"
"1096","177.155967700","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","98","Application Data"
"1097","177.156501900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","TLSv1.2","102","Application Data"
"1098","177.258461200","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  49805 [ACK] Seq=217 Ack=253 Win=16 Len=0"
"1099","180.739932000","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","723","Application Data"
"1100","180.745699000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"1101","180.745859200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"1102","180.842117500","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=15021 Ack=1611 Win=16388 Len=0"
"1105","183.431976000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","143","50122  >  5222 [PSH, ACK] Seq=3268 Ack=3562 Win=65280 Len=69"
"1106","183.501785000","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=3562 Ack=3337 Win=76032 Len=0"
"1107","183.811882800","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","145","5222  >  50122 [PSH, ACK] Seq=3562 Ack=3337 Win=76032 Len=71 [TCP PDU reassembled in 1107]"
"1108","183.867302100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","50122  >  5222 [ACK] Seq=3337 Ack=3633 Win=65280 Len=0"
"1109","184.448132800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","94","Standard query 0x3aca A assets.msn.com"
"1110","184.448132800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","94","Standard query 0xf562 AAAA assets.msn.com"
"1111","184.529427600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","266","Standard query response 0x3aca A assets.msn.com CNAME assets-msn-com-world-atm-default.trafficmanager.net CNAME assets.msn.com-ion.edgesuite.net CNAME a1666.dscr.akamai.net A 23.60.172.27 A 23.60.172.40"
"1112","184.775283200","172.20.10.6","172.20.10.1","DNS","74","Standard query 0xf562 AAAA assets.msn.com"
"1113","185.387391800","172.20.10.6","20.189.173.5","TCP","66","50123  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1114","185.760303100","20.189.173.5","172.20.10.6","TCP","66","443  >  50123 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 WS=256 SACK_PERM"
"1115","185.760458800","172.20.10.6","20.189.173.5","TCP","54","50123  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"1116","185.763163300","172.20.10.6","20.189.173.5","TLSv1.3","613","Client Hello (SNI=mobile.events.data.microsoft.com)"
"1117","185.788191600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","94","Standard query 0xf562 AAAA assets.msn.com"
"1118","186.269898400","20.189.173.5","172.20.10.6","TLSv1.3","1414","Server Hello, Change Cipher Spec"
